levels,spacing_pct,total_pnl,max_drawdown_pct,total_fills,sharpe_ratio
4,1.0,645212.04,99.98,11,15.2664
4,1.0,645212.04,99.98,11,15.2664
4,1.0,645212.04,99.98,11,15.2664
4,1.0,645212.04,99.98,11,15.2664
4,1.0,645212.04,99.98,11,15.2664
4,1.0,645212.04,99.98,11,15.2664
4,1.0,645212.04,99.98,11,15.2664
4,1.0,645212.04,99.98,11,15.2664
8,1.0,322606.02,99.97,11,15.2664
8,1.0,322606.02,99.97,11,15.2664
8,1.0,322606.02,99.97,11,15.2664
8,1.0,322606.02,99.97,11,15.2664
8,1.0,322606.02,99.97,11,15.2664
8,1.0,322606.02,99.97,11,15.2664
8,1.0,322606.02,99.97,11,15.2664
8,1.0,322606.02,99.97,11,15.2664
3,1.0,860282.72,99.99,11,15.2664
3,1.0,860282.72,99.99,11,15.2664
3,1.0,860282.72,99.99,11,15.2664
3,1.0,860282.72,99.99,11,15.2664
3,1.0,860282.72,99.99,11,15.2664
3,1.0,860282.72,99.99,11,15.2664
3,1.0,860282.72,99.99,11,15.2664
3,1.0,860282.72,99.99,11,15.2664
6,1.0,430141.36,99.98,11,15.2664
6,1.0,430141.36,99.98,11,15.2664
6,1.0,430141.36,99.98,11,15.2664
6,1.0,430141.36,99.98,11,15.2664
6,1.0,430141.36,99.98,11,15.2664
6,1.0,430141.36,99.98,11,15.2664
6,1.0,430141.36,99.98,11,15.2664
6,1.0,430141.36,99.98,11,15.2664
12,1.0,215070.68,99.95,11,15.2664
12,1.0,215070.68,99.95,11,15.2664
12,1.0,215070.68,99.95,11,15.2664
12,1.0,215070.68,99.95,11,15.2664
12,1.0,215070.68,99.95,11,15.2664
12,1.0,215070.68,99.95,11,15.2664
12,1.0,215070.68,99.95,11,15.2664
12,1.0,215070.68,99.95,11,15.2664
5,1.0,516169.63,99.98,11,15.2664
5,1.0,516169.63,99.98,11,15.2664
5,1.0,516169.63,99.98,11,15.2664
5,1.0,516169.63,99.98,11,15.2664
5,1.0,516169.63,99.98,11,15.2664
5,1.0,516169.63,99.98,11,15.2664
5,1.0,516169.63,99.98,11,15.2664
5,1.0,516169.63,99.98,11,15.2664
10,1.0,258084.82,99.96,11,15.2664
10,1.0,258084.82,99.96,11,15.2664
10,1.0,258084.82,99.96,11,15.2664
10,1.0,258084.82,99.96,11,15.2664
10,1.0,258084.82,99.96,11,15.2664
10,1.0,258084.82,99.96,11,15.2664
10,1.0,258084.82,99.96,11,15.2664
10,1.0,258084.82,99.96,11,15.2664
3,0.75,2197465.89,100.0,35,2.2993
3,0.75,2197465.89,100.0,35,2.2993
3,0.75,2197465.89,100.0,35,2.2993
3,0.75,2197465.89,100.0,35,2.2993
3,0.75,2197465.89,100.0,35,2.2993
3,0.75,2197465.89,100.0,35,2.2993
3,0.75,2197465.89,100.0,35,2.2993
3,0.75,2197465.89,100.0,35,2.2993
4,0.75,1648099.42,99.99,35,2.2993
4,0.75,1648099.42,99.99,35,2.2993
4,0.75,1648099.42,99.99,35,2.2993
4,0.75,1648099.42,99.99,35,2.2993
4,0.75,1648099.42,99.99,35,2.2993
4,0.75,1648099.42,99.99,35,2.2993
4,0.75,1648099.42,99.99,35,2.2993
4,0.75,1648099.42,99.99,35,2.2993
6,0.75,1098732.95,99.99,35,2.2993
6,0.75,1098732.95,99.99,35,2.2993
6,0.75,1098732.95,99.99,35,2.2993
6,0.75,1098732.95,99.99,35,2.2993
6,0.75,1098732.95,99.99,35,2.2993
6,0.75,1098732.95,99.99,35,2.2993
6,0.75,1098732.95,99.99,35,2.2993
6,0.75,1098732.95,99.99,35,2.2993
8,0.75,824049.71,99.99,35,2.2993
8,0.75,824049.71,99.99,35,2.2993
8,0.75,824049.71,99.99,35,2.2993
8,0.75,824049.71,99.99,35,2.2993
8,0.75,824049.71,99.99,35,2.2993
8,0.75,824049.71,99.99,35,2.2993
8,0.75,824049.71,99.99,35,2.2993
8,0.75,824049.71,99.99,35,2.2993
12,0.75,549366.47,99.98,35,2.2993
12,0.75,549366.47,99.98,35,2.2993
12,0.75,549366.47,99.98,35,2.2993
12,0.75,549366.47,99.98,35,2.2993
12,0.75,549366.47,99.98,35,2.2993
12,0.75,549366.47,99.98,35,2.2993
12,0.75,549366.47,99.98,35,2.2993
12,0.75,549366.47,99.98,35,2.2993
5,0.75,1318479.54,99.99,35,2.2993
5,0.75,1318479.54,99.99,35,2.2993
5,0.75,1318479.54,99.99,35,2.2993
5,0.75,1318479.54,99.99,35,2.2993
5,0.75,1318479.54,99.99,35,2.2993
5,0.75,1318479.54,99.99,35,2.2993
5,0.75,1318479.54,99.99,35,2.2993
5,0.75,1318479.54,99.99,35,2.2993
10,0.75,659239.77,99.98,35,2.2993
10,0.75,659239.77,99.98,35,2.2993
10,0.75,659239.77,99.98,35,2.2993
10,0.75,659239.77,99.98,35,2.2993
10,0.75,659239.77,99.98,35,2.2993
10,0.75,659239.77,99.98,35,2.2993
10,0.75,659239.77,99.98,35,2.2993
10,0.75,659239.77,99.98,35,2.2993
3,0.5,3579808.11,100.0,94,1.5753
3,0.5,3579808.11,100.0,94,1.5753
3,0.5,3579808.11,100.0,94,1.5753
3,0.5,3579808.11,100.0,94,1.5753
3,0.5,3579808.11,100.0,94,1.5753
3,0.5,3579808.11,100.0,94,1.5753
3,0.5,3579808.11,100.0,94,1.5753
3,0.5,3579808.11,100.0,94,1.5753
4,0.5,2684856.08,100.0,94,1.5753
4,0.5,2684856.08,100.0,94,1.5753
4,0.5,2684856.08,100.0,94,1.5753
4,0.5,2684856.08,100.0,94,1.5753
4,0.5,2684856.08,100.0,94,1.5753
4,0.5,2684856.08,100.0,94,1.5753
4,0.5,2684856.08,100.0,94,1.5753
4,0.5,2684856.08,100.0,94,1.5753
6,0.5,1789904.05,99.99,94,1.5753
6,0.5,1789904.05,99.99,94,1.5753
6,0.5,1789904.05,99.99,94,1.5753
6,0.5,1789904.05,99.99,94,1.5753
6,0.5,1789904.05,99.99,94,1.5753
6,0.5,1789904.05,99.99,94,1.5753
6,0.5,1789904.05,99.99,94,1.5753
6,0.5,1789904.05,99.99,94,1.5753
8,0.5,1342428.04,99.99,94,1.5753
8,0.5,1342428.04,99.99,94,1.5753
8,0.5,1342428.04,99.99,94,1.5753
8,0.5,1342428.04,99.99,94,1.5753
8,0.5,1342428.04,99.99,94,1.5753
8,0.5,1342428.04,99.99,94,1.5753
8,0.5,1342428.04,99.99,94,1.5753
8,0.5,1342428.04,99.99,94,1.5753
12,0.5,894952.03,99.99,94,1.5753
12,0.5,894952.03,99.99,94,1.5753
12,0.5,894952.03,99.99,94,1.5753
12,0.5,894952.03,99.99,94,1.5753
12,0.5,894952.03,99.99,94,1.5753
12,0.5,894952.03,99.99,94,1.5753
12,0.5,894952.03,99.99,94,1.5753
12,0.5,894952.03,99.99,94,1.5753
5,0.5,2147884.87,100.0,94,1.5753
5,0.5,2147884.87,100.0,94,1.5753
5,0.5,2147884.87,100.0,94,1.5753
5,0.5,2147884.87,100.0,94,1.5753
5,0.5,2147884.87,100.0,94,1.5753
5,0.5,2147884.87,100.0,94,1.5753
5,0.5,2147884.87,100.0,94,1.5753
5,0.5,2147884.87,100.0,94,1.5753
10,0.5,1073942.43,99.99,94,1.5753
10,0.5,1073942.43,99.99,94,1.5753
10,0.5,1073942.43,99.99,94,1.5753
10,0.5,1073942.43,99.99,94,1.5753
10,0.5,1073942.43,99.99,94,1.5753
10,0.5,1073942.43,99.99,94,1.5753
10,0.5,1073942.43,99.99,94,1.5753
10,0.5,1073942.43,99.99,94,1.5753
3,0.4,4447244.62,100.0,147,1.1926
3,0.4,4447244.62,100.0,147,1.1926
3,0.4,4447244.62,100.0,147,1.1926
3,0.4,4447244.62,100.0,147,1.1926
3,0.4,4447244.62,100.0,147,1.1926
3,0.4,4447244.62,100.0,147,1.1926
3,0.4,4447244.62,100.0,147,1.1926
3,0.4,4447244.62,100.0,147,1.1926
4,0.4,3335433.47,100.0,147,1.1926
4,0.4,3335433.47,100.0,147,1.1926
4,0.4,3335433.47,100.0,147,1.1926
4,0.4,3335433.47,100.0,147,1.1926
4,0.4,3335433.47,100.0,147,1.1926
4,0.4,3335433.47,100.0,147,1.1926
4,0.4,3335433.47,100.0,147,1.1926
4,0.4,3335433.47,100.0,147,1.1926
6,0.4,2223622.31,100.0,147,1.1926
6,0.4,2223622.31,100.0,147,1.1926
6,0.4,2223622.31,100.0,147,1.1926
6,0.4,2223622.31,100.0,147,1.1926
6,0.4,2223622.31,100.0,147,1.1926
6,0.4,2223622.31,100.0,147,1.1926
6,0.4,2223622.31,100.0,147,1.1926
6,0.4,2223622.31,100.0,147,1.1926
8,0.4,1667716.73,99.99,147,1.1926
8,0.4,1667716.73,99.99,147,1.1926
8,0.4,1667716.73,99.99,147,1.1926
8,0.4,1667716.73,99.99,147,1.1926
8,0.4,1667716.73,99.99,147,1.1926
8,0.4,1667716.73,99.99,147,1.1926
8,0.4,1667716.73,99.99,147,1.1926
8,0.4,1667716.73,99.99,147,1.1926
12,0.4,1111811.16,99.99,147,1.1926
12,0.4,1111811.16,99.99,147,1.1926
12,0.4,1111811.16,99.99,147,1.1926
12,0.4,1111811.16,99.99,147,1.1926
12,0.4,1111811.16,99.99,147,1.1926
12,0.4,1111811.16,99.99,147,1.1926
12,0.4,1111811.16,99.99,147,1.1926
12,0.4,1111811.16,99.99,147,1.1926
5,0.4,2668346.77,100.0,147,1.1926
5,0.4,2668346.77,100.0,147,1.1926
5,0.4,2668346.77,100.0,147,1.1926
5,0.4,2668346.77,100.0,147,1.1926
5,0.4,2668346.77,100.0,147,1.1926
5,0.4,2668346.77,100.0,147,1.1926
5,0.4,2668346.77,100.0,147,1.1926
5,0.4,2668346.77,100.0,147,1.1926
10,0.4,1334173.39,99.99,147,1.1926
10,0.4,1334173.39,99.99,147,1.1926
10,0.4,1334173.39,99.99,147,1.1926
10,0.4,1334173.39,99.99,147,1.1926
10,0.4,1334173.39,99.99,147,1.1926
10,0.4,1334173.39,99.99,147,1.1926
10,0.4,1334173.39,99.99,147,1.1926
10,0.4,1334173.39,99.99,147,1.1926
3,0.3,5476111.09,100.0,253,0.9743
3,0.3,5476111.09,100.0,253,0.9743
3,0.3,5476111.09,100.0,253,0.9743
3,0.3,5476111.09,100.0,253,0.9743
3,0.3,5476111.09,100.0,253,0.9743
3,0.3,5476111.09,100.0,253,0.9743
3,0.3,5476111.09,100.0,253,0.9743
3,0.3,5476111.09,100.0,253,0.9743
4,0.3,4542936.35,100.0,259,0.9659
4,0.3,4542936.35,100.0,259,0.9659
4,0.3,4542936.35,100.0,259,0.9659
4,0.3,4542936.35,100.0,259,0.9659
4,0.3,4542936.35,100.0,259,0.9659
4,0.3,4542936.35,100.0,259,0.9659
4,0.3,4542936.35,100.0,259,0.9659
4,0.3,4542936.35,100.0,259,0.9659
5,0.3,3792009.32,100.0,261,0.9481
5,0.3,3792009.32,100.0,261,0.9481
5,0.3,3792009.32,100.0,261,0.9481
5,0.3,3792009.32,100.0,261,0.9481
5,0.3,3792009.32,100.0,261,0.9481
5,0.3,3792009.32,100.0,261,0.9481
5,0.3,3792009.32,100.0,261,0.9481
5,0.3,3792009.32,100.0,261,0.9481
10,0.3,1896004.66,99.99,261,0.9481
10,0.3,1896004.66,99.99,261,0.9481
10,0.3,1896004.66,99.99,261,0.9481
10,0.3,1896004.66,99.99,261,0.9481
10,0.3,1896004.66,99.99,261,0.9481
10,0.3,1896004.66,99.99,261,0.9481
10,0.3,1896004.66,99.99,261,0.9481
10,0.3,1896004.66,99.99,261,0.9481
6,0.3,3160007.77,100.0,261,0.9481
6,0.3,3160007.77,100.0,261,0.9481
6,0.3,3160007.77,100.0,261,0.9481
6,0.3,3160007.77,100.0,261,0.9481
6,0.3,3160007.77,100.0,261,0.9481
6,0.3,3160007.77,100.0,261,0.9481
6,0.3,3160007.77,100.0,261,0.9481
6,0.3,3160007.77,100.0,261,0.9481
8,0.3,2370005.83,100.0,261,0.9481
8,0.3,2370005.83,100.0,261,0.9481
8,0.3,2370005.83,100.0,261,0.9481
8,0.3,2370005.83,100.0,261,0.9481
8,0.3,2370005.83,100.0,261,0.9481
8,0.3,2370005.83,100.0,261,0.9481
8,0.3,2370005.83,100.0,261,0.9481
8,0.3,2370005.83,100.0,261,0.9481
12,0.3,1580003.88,99.99,261,0.9481
12,0.3,1580003.88,99.99,261,0.9481
12,0.3,1580003.88,99.99,261,0.9481
12,0.3,1580003.88,99.99,261,0.9481
12,0.3,1580003.88,99.99,261,0.9481
12,0.3,1580003.88,99.99,261,0.9481
12,0.3,1580003.88,99.99,261,0.9481
12,0.3,1580003.88,99.99,261,0.9481
4,0.25,4385477.18,100.02,325,0.8097
4,0.25,4385477.18,100.02,325,0.8097
4,0.25,4385477.18,100.02,325,0.8097
4,0.25,4385477.18,100.02,325,0.8097
4,0.25,4385477.18,100.02,325,0.8097
4,0.25,4385477.18,100.02,325,0.8097
4,0.25,4385477.18,100.02,325,0.8097
4,0.25,4385477.18,100.02,325,0.8097
5,0.25,3817743.37,100.02,330,0.8063
5,0.25,3817743.37,100.02,330,0.8063
5,0.25,3817743.37,100.02,330,0.8063
5,0.25,3817743.37,100.02,330,0.8063
5,0.25,3817743.37,100.02,330,0.8063
5,0.25,3817743.37,100.02,330,0.8063
5,0.25,3817743.37,100.02,330,0.8063
5,0.25,3817743.37,100.02,330,0.8063
6,0.25,3312836.34,100.02,332,0.7972
6,0.25,3312836.34,100.02,332,0.7972
6,0.25,3312836.34,100.02,332,0.7972
6,0.25,3312836.34,100.02,332,0.7972
6,0.25,3312836.34,100.02,332,0.7972
6,0.25,3312836.34,100.02,332,0.7972
6,0.25,3312836.34,100.02,332,0.7972
6,0.25,3312836.34,100.02,332,0.7972
8,0.25,2484627.25,100.02,332,0.7972
8,0.25,2484627.25,100.02,332,0.7972
8,0.25,2484627.25,100.02,332,0.7972
8,0.25,2484627.25,100.02,332,0.7972
8,0.25,2484627.25,100.02,332,0.7972
8,0.25,2484627.25,100.02,332,0.7972
8,0.25,2484627.25,100.02,332,0.7972
8,0.25,2484627.25,100.02,332,0.7972
10,0.25,1987701.8,100.01,332,0.7972
10,0.25,1987701.8,100.01,332,0.7972
10,0.25,1987701.8,100.01,332,0.7972
10,0.25,1987701.8,100.01,332,0.7972
10,0.25,1987701.8,100.01,332,0.7972
10,0.25,1987701.8,100.01,332,0.7972
10,0.25,1987701.8,100.01,332,0.7972
10,0.25,1987701.8,100.01,332,0.7972
12,0.25,1656418.17,100.01,332,0.7972
12,0.25,1656418.17,100.01,332,0.7972
12,0.25,1656418.17,100.01,332,0.7972
12,0.25,1656418.17,100.01,332,0.7972
12,0.25,1656418.17,100.01,332,0.7972
12,0.25,1656418.17,100.01,332,0.7972
12,0.25,1656418.17,100.01,332,0.7972
12,0.25,1656418.17,100.01,332,0.7972
3,0.25,4987020.18,100.02,314,0.7907
3,0.25,4987020.18,100.02,314,0.7907
3,0.25,4987020.18,100.02,314,0.7907
3,0.25,4987020.18,100.02,314,0.7907
3,0.25,4987020.18,100.02,314,0.7907
3,0.25,4987020.18,100.02,314,0.7907
3,0.25,4987020.18,100.02,314,0.7907
3,0.25,4987020.18,100.02,314,0.7907
6,0.2,3695125.83,100.08,455,0.6988
6,0.2,3695125.83,100.08,455,0.6988
6,0.2,3695125.83,100.08,455,0.6988
6,0.2,3695125.83,100.08,455,0.6988
6,0.2,3695125.83,100.08,455,0.6988
6,0.2,3695125.83,100.08,455,0.6988
6,0.2,3695125.83,100.08,455,0.6988
6,0.2,3695125.83,100.08,455,0.6988
8,0.2,2907259.28,100.08,458,0.6961
8,0.2,2907259.28,100.08,458,0.6961
8,0.2,2907259.28,100.08,458,0.6961
8,0.2,2907259.28,100.08,458,0.6961
8,0.2,2907259.28,100.08,458,0.6961
8,0.2,2907259.28,100.08,458,0.6961
8,0.2,2907259.28,100.08,458,0.6961
8,0.2,2907259.28,100.08,458,0.6961
10,0.2,2325807.42,100.08,458,0.6961
10,0.2,2325807.42,100.08,458,0.6961
10,0.2,2325807.42,100.08,458,0.6961
10,0.2,2325807.42,100.08,458,0.6961
10,0.2,2325807.42,100.08,458,0.6961
10,0.2,2325807.42,100.08,458,0.6961
10,0.2,2325807.42,100.08,458,0.6961
10,0.2,2325807.42,100.08,458,0.6961
12,0.2,1938172.85,100.08,458,0.6961
12,0.2,1938172.85,100.08,458,0.6961
12,0.2,1938172.85,100.08,458,0.6961
12,0.2,1938172.85,100.08,458,0.6961
12,0.2,1938172.85,100.08,458,0.6961
12,0.2,1938172.85,100.08,458,0.6961
12,0.2,1938172.85,100.08,458,0.6961
12,0.2,1938172.85,100.08,458,0.6961
5,0.2,4085468.56,100.09,449,0.6938
5,0.2,4085468.56,100.09,449,0.6938
5,0.2,4085468.56,100.09,449,0.6938
5,0.2,4085468.56,100.09,449,0.6938
5,0.2,4085468.56,100.09,449,0.6938
5,0.2,4085468.56,100.09,449,0.6938
5,0.2,4085468.56,100.09,449,0.6938
5,0.2,4085468.56,100.09,449,0.6938
4,0.2,4461623.66,100.1,438,0.6741
4,0.2,4461623.66,100.1,438,0.6741
