levels,spacing_pct,total_pnl,max_drawdown_pct,total_fills,sharpe_ratio
5,1.0,1474.17,0.0,22,3.0321
5,1.0,1474.17,0.0,22,3.0321
5,1.0,1474.17,0.0,22,3.0321
5,1.0,1474.17,0.0,22,3.0321
5,1.0,1474.17,0.0,22,3.0321
5,1.0,1474.17,0.0,22,3.0321
5,1.0,1474.17,0.0,22,3.0321
5,1.0,1474.17,0.0,22,3.0321
10,1.0,737.08,0.0,22,3.0321
10,1.0,737.08,0.0,22,3.0321
10,1.0,737.08,0.0,22,3.0321
10,1.0,737.08,0.0,22,3.0321
10,1.0,737.08,0.0,22,3.0321
10,1.0,737.08,0.0,22,3.0321
10,1.0,737.08,0.0,22,3.0321
10,1.0,737.08,0.0,22,3.0321
3,1.0,2456.94,0.0,22,3.0321
3,1.0,2456.94,0.0,22,3.0321
3,1.0,2456.94,0.0,22,3.0321
3,1.0,2456.94,0.0,22,3.0321
3,1.0,2456.94,0.0,22,3.0321
3,1.0,2456.94,0.0,22,3.0321
3,1.0,2456.94,0.0,22,3.0321
3,1.0,2456.94,0.0,22,3.0321
4,1.0,1842.71,0.0,22,3.0321
4,1.0,1842.71,0.0,22,3.0321
4,1.0,1842.71,0.0,22,3.0321
4,1.0,1842.71,0.0,22,3.0321
4,1.0,1842.71,0.0,22,3.0321
4,1.0,1842.71,0.0,22,3.0321
4,1.0,1842.71,0.0,22,3.0321
4,1.0,1842.71,0.0,22,3.0321
6,1.0,1228.47,0.0,22,3.0321
6,1.0,1228.47,0.0,22,3.0321
6,1.0,1228.47,0.0,22,3.0321
6,1.0,1228.47,0.0,22,3.0321
6,1.0,1228.47,0.0,22,3.0321
6,1.0,1228.47,0.0,22,3.0321
6,1.0,1228.47,0.0,22,3.0321
6,1.0,1228.47,0.0,22,3.0321
8,1.0,921.35,0.0,22,3.0321
8,1.0,921.35,0.0,22,3.0321
8,1.0,921.35,0.0,22,3.0321
8,1.0,921.35,0.0,22,3.0321
8,1.0,921.35,0.0,22,3.0321
8,1.0,921.35,0.0,22,3.0321
8,1.0,921.35,0.0,22,3.0321
8,1.0,921.35,0.0,22,3.0321
12,1.0,614.24,0.0,22,3.0321
12,1.0,614.24,0.0,22,3.0321
12,1.0,614.24,0.0,22,3.0321
12,1.0,614.24,0.0,22,3.0321
12,1.0,614.24,0.0,22,3.0321
12,1.0,614.24,0.0,22,3.0321
12,1.0,614.24,0.0,22,3.0321
12,1.0,614.24,0.0,22,3.0321
4,0.75,2781.43,0.0,43,2.3773
4,0.75,2781.43,0.0,43,2.3773
4,0.75,2781.43,0.0,43,2.3773
4,0.75,2781.43,0.0,43,2.3773
4,0.75,2781.43,0.0,43,2.3773
4,0.75,2781.43,0.0,43,2.3773
4,0.75,2781.43,0.0,43,2.3773
4,0.75,2781.43,0.0,43,2.3773
8,0.75,1390.72,0.0,43,2.3773
8,0.75,1390.72,0.0,43,2.3773
8,0.75,1390.72,0.0,43,2.3773
8,0.75,1390.72,0.0,43,2.3773
8,0.75,1390.72,0.0,43,2.3773
8,0.75,1390.72,0.0,43,2.3773
8,0.75,1390.72,0.0,43,2.3773
8,0.75,1390.72,0.0,43,2.3773
5,0.75,2225.15,0.0,43,2.3773
5,0.75,2225.15,0.0,43,2.3773
5,0.75,2225.15,0.0,43,2.3773
5,0.75,2225.15,0.0,43,2.3773
5,0.75,2225.15,0.0,43,2.3773
5,0.75,2225.15,0.0,43,2.3773
5,0.75,2225.15,0.0,43,2.3773
5,0.75,2225.15,0.0,43,2.3773
10,0.75,1112.57,0.0,43,2.3773
10,0.75,1112.57,0.0,43,2.3773
10,0.75,1112.57,0.0,43,2.3773
10,0.75,1112.57,0.0,43,2.3773
10,0.75,1112.57,0.0,43,2.3773
10,0.75,1112.57,0.0,43,2.3773
10,0.75,1112.57,0.0,43,2.3773
10,0.75,1112.57,0.0,43,2.3773
3,0.75,3708.58,0.0,43,2.3773
3,0.75,3708.58,0.0,43,2.3773
3,0.75,3708.58,0.0,43,2.3773
3,0.75,3708.58,0.0,43,2.3773
3,0.75,3708.58,0.0,43,2.3773
3,0.75,3708.58,0.0,43,2.3773
3,0.75,3708.58,0.0,43,2.3773
3,0.75,3708.58,0.0,43,2.3773
6,0.75,1854.29,0.0,43,2.3773
6,0.75,1854.29,0.0,43,2.3773
6,0.75,1854.29,0.0,43,2.3773
6,0.75,1854.29,0.0,43,2.3773
6,0.75,1854.29,0.0,43,2.3773
6,0.75,1854.29,0.0,43,2.3773
6,0.75,1854.29,0.0,43,2.3773
6,0.75,1854.29,0.0,43,2.3773
12,0.75,927.14,0.0,43,2.3773
12,0.75,927.14,0.0,43,2.3773
12,0.75,927.14,0.0,43,2.3773
12,0.75,927.14,0.0,43,2.3773
12,0.75,927.14,0.0,43,2.3773
12,0.75,927.14,0.0,43,2.3773
12,0.75,927.14,0.0,43,2.3773
