levels,spacing_pct,total_pnl,max_drawdown_pct,total_fills,sharpe_ratio
5,1.0,1474.17,93.65,22,3.0321
5,1.0,1474.17,93.65,22,3.0321
5,1.0,1474.17,93.65,22,3.0321
5,1.0,1474.17,93.65,22,3.0321
5,1.0,1474.17,93.65,22,3.0321
5,1.0,1474.17,93.65,22,3.0321
5,1.0,1474.17,93.65,22,3.0321
5,1.0,1474.17,93.65,22,3.0321
10,1.0,737.08,88.05,22,3.0321
10,1.0,737.08,88.05,22,3.0321
10,1.0,737.08,88.05,22,3.0321
10,1.0,737.08,88.05,22,3.0321
10,1.0,737.08,88.05,22,3.0321
10,1.0,737.08,88.05,22,3.0321
10,1.0,737.08,88.05,22,3.0321
10,1.0,737.08,88.05,22,3.0321
3,1.0,2456.94,96.09,22,3.0321
3,1.0,2456.94,96.09,22,3.0321
3,1.0,2456.94,96.09,22,3.0321
3,1.0,2456.94,96.09,22,3.0321
3,1.0,2456.94,96.09,22,3.0321
3,1.0,2456.94,96.09,22,3.0321
3,1.0,2456.94,96.09,22,3.0321
3,1.0,2456.94,96.09,22,3.0321
4,1.0,1842.71,94.85,22,3.0321
4,1.0,1842.71,94.85,22,3.0321
4,1.0,1842.71,94.85,22,3.0321
4,1.0,1842.71,94.85,22,3.0321
4,1.0,1842.71,94.85,22,3.0321
4,1.0,1842.71,94.85,22,3.0321
4,1.0,1842.71,94.85,22,3.0321
4,1.0,1842.71,94.85,22,3.0321
6,1.0,1228.47,92.47,22,3.0321
6,1.0,1228.47,92.47,22,3.0321
6,1.0,1228.47,92.47,22,3.0321
6,1.0,1228.47,92.47,22,3.0321
6,1.0,1228.47,92.47,22,3.0321
6,1.0,1228.47,92.47,22,3.0321
6,1.0,1228.47,92.47,22,3.0321
6,1.0,1228.47,92.47,22,3.0321
8,1.0,921.35,90.21,22,3.0321
8,1.0,921.35,90.21,22,3.0321
8,1.0,921.35,90.21,22,3.0321
8,1.0,921.35,90.21,22,3.0321
8,1.0,921.35,90.21,22,3.0321
8,1.0,921.35,90.21,22,3.0321
8,1.0,921.35,90.21,22,3.0321
8,1.0,921.35,90.21,22,3.0321
12,1.0,614.24,86.0,22,3.0321
12,1.0,614.24,86.0,22,3.0321
12,1.0,614.24,86.0,22,3.0321
12,1.0,614.24,86.0,22,3.0321
12,1.0,614.24,86.0,22,3.0321
12,1.0,614.24,86.0,22,3.0321
12,1.0,614.24,86.0,22,3.0321
12,1.0,614.24,86.0,22,3.0321
4,0.75,2781.43,96.53,43,2.3773
4,0.75,2781.43,96.53,43,2.3773
4,0.75,2781.43,96.53,43,2.3773
4,0.75,2781.43,96.53,43,2.3773
4,0.75,2781.43,96.53,43,2.3773
4,0.75,2781.43,96.53,43,2.3773
4,0.75,2781.43,96.53,43,2.3773
4,0.75,2781.43,96.53,43,2.3773
8,0.75,1390.72,93.29,43,2.3773
8,0.75,1390.72,93.29,43,2.3773
8,0.75,1390.72,93.29,43,2.3773
8,0.75,1390.72,93.29,43,2.3773
8,0.75,1390.72,93.29,43,2.3773
8,0.75,1390.72,93.29,43,2.3773
8,0.75,1390.72,93.29,43,2.3773
8,0.75,1390.72,93.29,43,2.3773
5,0.75,2225.15,95.7,43,2.3773
5,0.75,2225.15,95.7,43,2.3773
5,0.75,2225.15,95.7,43,2.3773
5,0.75,2225.15,95.7,43,2.3773
5,0.75,2225.15,95.7,43,2.3773
5,0.75,2225.15,95.7,43,2.3773
5,0.75,2225.15,95.7,43,2.3773
5,0.75,2225.15,95.7,43,2.3773
10,0.75,1112.57,91.75,43,2.3773
10,0.75,1112.57,91.75,43,2.3773
10,0.75,1112.57,91.75,43,2.3773
10,0.75,1112.57,91.75,43,2.3773
10,0.75,1112.57,91.75,43,2.3773
10,0.75,1112.57,91.75,43,2.3773
10,0.75,1112.57,91.75,43,2.3773
10,0.75,1112.57,91.75,43,2.3773
3,0.75,3708.58,97.37,43,2.3773
3,0.75,3708.58,97.37,43,2.3773
3,0.75,3708.58,97.37,43,2.3773
3,0.75,3708.58,97.37,43,2.3773
3,0.75,3708.58,97.37,43,2.3773
3,0.75,3708.58,97.37,43,2.3773
3,0.75,3708.58,97.37,43,2.3773
3,0.75,3708.58,97.37,43,2.3773
6,0.75,1854.29,94.88,43,2.3773
6,0.75,1854.29,94.88,43,2.3773
6,0.75,1854.29,94.88,43,2.3773
6,0.75,1854.29,94.88,43,2.3773
6,0.75,1854.29,94.88,43,2.3773
6,0.75,1854.29,94.88,43,2.3773
6,0.75,1854.29,94.88,43,2.3773
6,0.75,1854.29,94.88,43,2.3773
12,0.75,927.14,90.26,43,2.3773
12,0.75,927.14,90.26,43,2.3773
12,0.75,927.14,90.26,43,2.3773
12,0.75,927.14,90.26,43,2.3773
12,0.75,927.14,90.26,43,2.3773
12,0.75,927.14,90.26,43,2.3773
12,0.75,927.14,90.26,43,2.3773
12,0.75,927.14,90.26,43,2.3773
3,0.5,6590.91,98.51,115,1.372
3,0.5,6590.91,98.51,115,1.372
3,0.5,6590.91,98.51,115,1.372
3,0.5,6590.91,98.51,115,1.372
3,0.5,6590.91,98.51,115,1.372
3,0.5,6590.91,98.51,115,1.372
3,0.5,6590.91,98.51,115,1.372
3,0.5,6590.91,98.51,115,1.372
4,0.5,5129.88,98.09,116,1.3171
4,0.5,5129.88,98.09,116,1.3171
4,0.5,5129.88,98.09,116,1.3171
4,0.5,5129.88,98.09,116,1.3171
4,0.5,5129.88,98.09,116,1.3171
4,0.5,5129.88,98.09,116,1.3171
4,0.5,5129.88,98.09,116,1.3171
4,0.5,5129.88,98.09,116,1.3171
8,0.5,2564.94,96.25,116,1.3171
8,0.5,2564.94,96.25,116,1.3171
8,0.5,2564.94,96.25,116,1.3171
8,0.5,2564.94,96.25,116,1.3171
8,0.5,2564.94,96.25,116,1.3171
8,0.5,2564.94,96.25,116,1.3171
8,0.5,2564.94,96.25,116,1.3171
8,0.5,2564.94,96.25,116,1.3171
5,0.5,4103.9,97.62,116,1.3171
5,0.5,4103.9,97.62,116,1.3171
5,0.5,4103.9,97.62,116,1.3171
5,0.5,4103.9,97.62,116,1.3171
5,0.5,4103.9,97.62,116,1.3171
5,0.5,4103.9,97.62,116,1.3171
5,0.5,4103.9,97.62,116,1.3171
5,0.5,4103.9,97.62,116,1.3171
6,0.5,3419.92,97.16,116,1.3171
6,0.5,3419.92,97.16,116,1.3171
6,0.5,3419.92,97.16,116,1.3171
6,0.5,3419.92,97.16,116,1.3171
6,0.5,3419.92,97.16,116,1.3171
6,0.5,3419.92,97.16,116,1.3171
6,0.5,3419.92,97.16,116,1.3171
6,0.5,3419.92,97.16,116,1.3171
10,0.5,2051.95,95.35,116,1.3171
10,0.5,2051.95,95.35,116,1.3171
10,0.5,2051.95,95.35,116,1.3171
10,0.5,2051.95,95.35,116,1.3171
10,0.5,2051.95,95.35,116,1.3171
10,0.5,2051.95,95.35,116,1.3171
10,0.5,2051.95,95.35,116,1.3171
10,0.5,2051.95,95.35,116,1.3171
12,0.5,1709.96,94.48,116,1.3171
12,0.5,1709.96,94.48,116,1.3171
12,0.5,1709.96,94.48,116,1.3171
12,0.5,1709.96,94.48,116,1.3171
12,0.5,1709.96,94.48,116,1.3171
12,0.5,1709.96,94.48,116,1.3171
12,0.5,1709.96,94.48,116,1.3171
12,0.5,1709.96,94.48,116,1.3171
3,0.4,7281.22,98.65,166,1.1789
3,0.4,7281.22,98.65,166,1.1789
3,0.4,7281.22,98.65,166,1.1789
3,0.4,7281.22,98.65,166,1.1789
3,0.4,7281.22,98.65,166,1.1789
3,0.4,7281.22,98.65,166,1.1789
3,0.4,7281.22,98.65,166,1.1789
3,0.4,7281.22,98.65,166,1.1789
4,0.4,6141.56,98.4,171,1.1263
4,0.4,6141.56,98.4,171,1.1263
4,0.4,6141.56,98.4,171,1.1263
4,0.4,6141.56,98.4,171,1.1263
4,0.4,6141.56,98.4,171,1.1263
4,0.4,6141.56,98.4,171,1.1263
4,0.4,6141.56,98.4,171,1.1263
4,0.4,6141.56,98.4,171,1.1263
5,0.4,5062.6,98.06,172,1.0978
5,0.4,5062.6,98.06,172,1.0978
5,0.4,5062.6,98.06,172,1.0978
5,0.4,5062.6,98.06,172,1.0978
5,0.4,5062.6,98.06,172,1.0978
5,0.4,5062.6,98.06,172,1.0978
5,0.4,5062.6,98.06,172,1.0978
5,0.4,5062.6,98.06,172,1.0978
6,0.4,4218.83,97.68,172,1.0978
6,0.4,4218.83,97.68,172,1.0978
6,0.4,4218.83,97.68,172,1.0978
6,0.4,4218.83,97.68,172,1.0978
6,0.4,4218.83,97.68,172,1.0978
6,0.4,4218.83,97.68,172,1.0978
6,0.4,4218.83,97.68,172,1.0978
6,0.4,4218.83,97.68,172,1.0978
8,0.4,3164.12,96.94,172,1.0978
8,0.4,3164.12,96.94,172,1.0978
8,0.4,3164.12,96.94,172,1.0978
8,0.4,3164.12,96.94,172,1.0978
8,0.4,3164.12,96.94,172,1.0978
8,0.4,3164.12,96.94,172,1.0978
8,0.4,3164.12,96.94,172,1.0978
8,0.4,3164.12,96.94,172,1.0978
10,0.4,2531.3,96.2,172,1.0978
10,0.4,2531.3,96.2,172,1.0978
10,0.4,2531.3,96.2,172,1.0978
10,0.4,2531.3,96.2,172,1.0978
10,0.4,2531.3,96.2,172,1.0978
10,0.4,2531.3,96.2,172,1.0978
10,0.4,2531.3,96.2,172,1.0978
10,0.4,2531.3,96.2,172,1.0978
12,0.4,2109.42,95.47,172,1.0978
12,0.4,2109.42,95.47,172,1.0978
12,0.4,2109.42,95.47,172,1.0978
12,0.4,2109.42,95.47,172,1.0978
12,0.4,2109.42,95.47,172,1.0978
12,0.4,2109.42,95.47,172,1.0978
12,0.4,2109.42,95.47,172,1.0978
12,0.4,2109.42,95.47,172,1.0978
3,0.3,7366.54,98.66,251,0.9868
3,0.3,7366.54,98.66,251,0.9868
3,0.3,7366.54,98.66,251,0.9868
3,0.3,7366.54,98.66,251,0.9868
3,0.3,7366.54,98.66,251,0.9868
3,0.3,7366.54,98.66,251,0.9868
3,0.3,7366.54,98.66,251,0.9868
3,0.3,7366.54,98.66,251,0.9868
4,0.3,6895.91,98.57,265,0.9689
4,0.3,6895.91,98.57,265,0.9689
4,0.3,6895.91,98.57,265,0.9689
4,0.3,6895.91,98.57,265,0.9689
4,0.3,6895.91,98.57,265,0.9689
4,0.3,6895.91,98.57,265,0.9689
4,0.3,6895.91,98.57,265,0.9689
4,0.3,6895.91,98.57,265,0.9689
5,0.3,6120.04,98.39,271,0.9482
5,0.3,6120.04,98.39,271,0.9482
5,0.3,6120.04,98.39,271,0.9482
5,0.3,6120.04,98.39,271,0.9482
5,0.3,6120.04,98.39,271,0.9482
5,0.3,6120.04,98.39,271,0.9482
5,0.3,6120.04,98.39,271,0.9482
5,0.3,6120.04,98.39,271,0.9482
6,0.3,5312.26,98.15,273,0.9304
6,0.3,5312.26,98.15,273,0.9304
6,0.3,5312.26,98.15,273,0.9304
6,0.3,5312.26,98.15,273,0.9304
6,0.3,5312.26,98.15,273,0.9304
6,0.3,5312.26,98.15,273,0.9304
6,0.3,5312.26,98.15,273,0.9304
6,0.3,5312.26,98.15,273,0.9304
10,0.3,3266.08,97.03,274,0.9131
10,0.3,3266.08,97.03,274,0.9131
10,0.3,3266.08,97.03,274,0.9131
10,0.3,3266.08,97.03,274,0.9131
10,0.3,3266.08,97.03,274,0.9131
10,0.3,3266.08,97.03,274,0.9131
10,0.3,3266.08,97.03,274,0.9131
10,0.3,3266.08,97.03,274,0.9131
8,0.3,4082.59,97.61,274,0.9131
8,0.3,4082.59,97.61,274,0.9131
8,0.3,4082.59,97.61,274,0.9131
8,0.3,4082.59,97.61,274,0.9131
8,0.3,4082.59,97.61,274,0.9131
8,0.3,4082.59,97.61,274,0.9131
8,0.3,4082.59,97.61,274,0.9131
8,0.3,4082.59,97.61,274,0.9131
12,0.3,2721.73,96.46,274,0.9131
12,0.3,2721.73,96.46,274,0.9131
12,0.3,2721.73,96.46,274,0.9131
12,0.3,2721.73,96.46,274,0.9131
12,0.3,2721.73,96.46,274,0.9131
12,0.3,2721.73,96.46,274,0.9131
12,0.3,2721.73,96.46,274,0.9131
12,0.3,2721.73,96.46,274,0.9131
5,0.25,6528.69,98.53,356,0.814
5,0.25,6528.69,98.53,356,0.814
5,0.25,6528.69,98.53,356,0.814
5,0.25,6528.69,98.53,356,0.814
5,0.25,6528.69,98.53,356,0.814
5,0.25,6528.69,98.53,356,0.814
5,0.25,6528.69,98.53,356,0.814
6,0.25,5943.33,98.38,362,0.81
6,0.25,5943.33,98.38,362,0.81
6,0.25,5943.33,98.38,362,0.81
6,0.25,5943.33,98.38,362,0.81
6,0.25,5943.33,98.38,362,0.81
6,0.25,5943.33,98.38,362,0.81
6,0.25,5943.33,98.38,362,0.81
4,0.25,6820.81,98.6,343,0.8088
4,0.25,6820.81,98.6,343,0.8088
4,0.25,6820.81,98.6,343,0.8088
4,0.25,6820.81,98.6,343,0.8088
4,0.25,6820.81,98.6,343,0.8088
4,0.25,6820.81,98.6,343,0.8088
4,0.25,6820.81,98.6,343,0.8088
8,0.25,4704.96,97.95,365,0.7954
8,0.25,4704.96,97.95,365,0.7954
8,0.25,4704.96,97.95,365,0.7954
8,0.25,4704.96,97.95,365,0.7954
8,0.25,4704.96,97.95,365,0.7954
